Generation	Fitness	Shooting fitness	Aiming fitness
145	122.351456	49.000000	73.351456
146	116.475584	43.000000	73.475584
147	118.134719	44.500000	73.634719
148	120.526556	47.000001	73.526554
149	118.712509	45.000000	73.712509
150	120.870658	47.000001	73.870657
151	119.849980	46.000000	73.849980
152	119.601127	46.000000	73.601127
153	118.461550	45.000001	73.461549
154	118.493497	45.000000	73.493497
155	116.972719	43.500000	73.472719
156	123.016702	49.000001	74.016701
157	115.098142	41.500000	73.598142
158	120.842510	47.000000	73.842510
159	117.735557	44.000000	73.735556
160	120.278708	46.500001	73.778707
161	117.105399	43.500000	73.605399
162	120.140345	46.500000	73.640345
163	232.287509	171.000000	61.287509
164	343.888169	291.999997	51.888172
165	347.358992	293.000000	54.358992
166	333.110528	285.000001	48.110527
167	331.770625	281.000000	50.770625
168	280.303323	229.000000	51.303323
169	328.165105	277.500000	50.665106
170	326.219024	278.500004	47.719021
171	339.062119	291.000001	48.062118
172	357.824279	306.499998	51.324281
173	334.176411	282.999999	51.176413
174	349.242200	298.500001	50.742199
175	324.081760	273.000003	51.081757
176	365.710373	315.500001	50.210372
177	336.657758	286.999999	49.657759
178	339.630479	286.499998	53.130480
179	328.725698	279.499999	49.225699
180	298.319531	253.500000	44.819531
181	336.592294	285.500001	51.092293
182	308.497588	264.000002	44.497586
183	336.378272	287.000001	49.378271
184	341.798034	293.500000	48.298034
185	321.436328	273.000002	48.436326
186	335.810797	288.000003	47.810795
187	322.392694	273.499998	48.892696
188	296.656755	251.999999	44.656756
189	356.811477	301.499999	55.311478
190	321.507294	272.499999	49.007295
191	342.193598	293.000003	49.193595
192	320.274596	273.500000	46.774595
193	339.215151	285.499998	53.715153
194	314.585876	264.999999	49.585877
195	358.817946	304.500003	54.317944
196	345.378312	293.500001	51.878311
197	358.323554	304.000003	54.323551
198	356.962044	304.500000	52.462044
199	356.040579	303.500002	52.540577
200	343.290012	292.500000	50.790012
201	357.626258	302.499998	55.126260
202	330.576101	282.000002	48.576099
203	379.054415	325.000000	54.054415
204	322.565184	269.000000	53.565183
205	338.760099	285.000001	53.760099
206	319.498946	272.000003	47.498943
207	357.155746	303.499999	53.655746
208	317.389555	270.000001	47.389554
209	336.588701	283.000002	53.588698
210	356.614444	303.500002	53.114441
211	350.973976	297.499999	53.473977
212	336.101309	284.500000	51.601309
213	362.261324	308.000001	54.261322
214	340.456376	288.000000	52.456376
215	350.781795	295.500002	55.281793
216	374.376632	319.500002	54.876629
217	387.991889	326.499998	61.491891
218	360.902999	305.499995	55.403004
219	345.097218	291.500002	53.597216
220	348.012441	295.500001	52.512440
221	344.640508	293.000003	51.640505
222	344.199437	292.000003	52.199435
223	359.498533	305.999998	53.498535
224	366.757896	313.000002	53.757894
225	360.877798	307.999999	52.877799
226	322.702848	271.000000	51.702848
227	356.514137	301.999999	54.514137
228	347.877744	294.499998	53.377746
229	353.727477	300.000001	53.727476
230	348.436803	298.000004	50.436799
231	348.700731	295.499998	53.200733
232	345.830751	296.499998	49.330753
233	346.462265	296.500004	49.962260
234	366.751274	314.000003	52.751271
235	386.695827	332.500001	54.195827
