Generation	Fitness	ShootingFitness	AimingFitness	Shots	Misses	WrongReloads
148	154.720017	84.000000	70.720017	1,103	935	21
149	156.344984	87.999999	68.344985	1,046	870	24
150	157.760103	87.000001	70.760102	1,176	1,002	22
151	161.336186	91.500001	69.836186	1,130	947	21
152	163.718459	94.999999	68.718459	1,130	940	22
153	154.915591	85.500001	69.415591	1,022	851	29
154	156.887788	86.999999	69.887788	1,169	995	20
155	156.347990	85.499998	70.847992	1,145	974	19
156	159.820338	88.499998	71.320340	1,116	939	22
157	160.727377	91.500000	69.227378	1,185	1,002	20
158	158.076899	90.499999	67.576900	1,115	934	25
159	164.046337	96.000000	68.046337	1,152	960	24
160	163.001345	92.500001	70.501344	1,074	889	21
161	161.069690	90.500000	70.569690	1,163	982	23
162	151.572036	81.000001	70.572035	1,063	901	24
163	156.925453	87.499998	69.425454	1,075	900	24
164	162.279271	92.499999	69.779272	1,132	947	20
165	159.759337	89.000000	70.759337	1,146	968	23
166	160.786437	90.499999	70.286438	1,125	944	19
167	161.930152	91.500002	70.430150	1,182	999	21
168	157.194824	88.999999	68.194824	1,120	942	18
169	164.164655	93.500001	70.664654	930	743	18
170	183.658040	125.500000	58.158039	541	290	7
171	176.860465	119.499999	57.360467	622	383	11
172	166.234400	107.999999	58.234402	549	333	12
173	180.918062	121.000000	59.918062	561	319	7
174	187.416366	131.500001	55.916364	684	421	5
175	198.629205	139.999998	58.629207	542	262	10
176	182.504782	123.500000	59.004782	538	291	7
177	184.809940	127.499998	57.309942	648	393	8
178	188.669996	128.999999	59.669997	544	286	9
179	187.452223	128.500000	58.952223	586	329	7
180	195.051352	138.999997	56.051355	609	331	5
181	187.896782	131.500000	56.396782	537	274	13
182	183.608914	126.999999	56.608915	619	365	4
183	190.968734	138.499998	52.468736	764	487	4
184	192.291279	134.499999	57.791280	615	346	3
185	197.528674	139.500000	58.028673	647	368	4
186	209.125080	151.000001	58.125079	679	377	7
187	191.741801	134.500002	57.241799	645	376	8
188	195.770656	136.000001	59.770656	654	382	8
189	190.943021	131.999998	58.943023	613	349	6
190	193.143139	136.000002	57.143137	648	376	6
191	187.126810	130.500001	56.626810	594	333	7
192	195.708446	135.999998	59.708448	498	226	4
193	184.894032	123.499999	61.394033	462	215	10
194	201.681939	143.000000	58.681939	601	315	3
195	184.129576	130.499997	53.629579	617	356	6
196	188.752761	132.000002	56.752759	682	418	6
197	195.373666	139.499998	55.873668	570	291	16
198	178.582714	123.500002	55.082712	580	333	13
199	192.121448	133.499999	58.621449	622	355	10
200	188.562744	131.500000	57.062744	588	325	7
201	197.113639	138.500001	58.613638	549	272	9
