Generation	Fitness	ShootingFitness	AimingFitness	Shots	Misses	WrongReloads
67	212.150999333	164.833335	47.3176643333	734.666666667	405.0	7.0	
68	200.416514333	152.500000333	47.916514	708.333333333	403.333333333	9.66666666667	
69	210.033657	160.499999	49.533658	656.666666667	335.666666667	17.3333333333	
70	218.188661667	171.833331	46.355331	550.666666667	207.0	35.0	
71	222.948564	172.000002667	50.9485616667	659.333333333	315.333333333	16.0	
72	222.285101333	170.999999667	51.285102	629.333333333	287.333333333	19.0	
73	236.989285333	186.000000333	50.989285	686.0	314.0	10.6666666667	
74	221.802188	172.333336333	49.468852	638.333333333	293.666666667	18.0	
75	236.330972667	186.166665667	50.1643073333	694.333333333	322.0	17.0	
76	228.126901	179.333332	48.793569	666.333333333	307.666666667	26.6666666667	
77	230.437127333	183.999999667	46.4371276667	667.333333333	299.333333333	18.6666666667	
78	219.121175667	172.666668667	46.454507	628.333333333	283.0	23.3333333333	
79	224.877622333	175.500001	49.377621	708.666666667	357.666666667	25.0	
80	222.628923667	172.166668	50.4622556667	704.666666667	360.333333333	20.3333333333	
81	226.583021667	177.333332	49.2496896667	672.333333333	317.666666667	28.0	
82	218.552659333	172.999999667	45.5526593333	645.666666667	299.666666667	30.6666666667	
83	233.915183333	179.833334333	54.0818486667	485.0	125.333333333	37.0	
84	230.832048667	185.166665	45.6653836667	684.0	313.666666667	25.3333333333	
85	250.956387	199.833334	51.123053	751.333333333	351.666666667	11.0	
86	252.053156333	200.666666333	51.3864896667	727.333333333	326.0	12.0	
87	252.556381	201.166666333	51.3897146667	721.333333333	319.0	17.3333333333	
88	249.921669333	200.666667	49.2550023333	699.333333333	298.0	22.0	
89	253.962257667	203.500000667	50.4622566667	710.0	303.0	21.6666666667	
90	244.157946333	188.666666	55.49128	482.666666667	105.333333333	29.6666666667	
91	258.038287667	207.000000333	51.0382866667	759.666666667	345.666666667	17.3333333333	
92	274.006077333	221.333336333	52.6727413333	752.0	309.333333333	9.33333333333	
93	263.251742667	206.166667667	57.0850743333	525.666666667	113.333333333	32.6666666667	
94	272.753053	220.500001667	52.253051	730.333333333	289.333333333	17.6666666667	
95	271.286967333	220.666667	50.6203003333	724.333333333	283.0	22.0	
96	266.723648	208.999999333	57.7236486667	559.0	141.0	29.6666666667	
97	269.143234333	217.166666667	51.976568	729.0	294.666666667	13.0	
98	283.520772	230.000000333	53.5207716667	678.666666667	218.666666667	33.3333333333	
99	267.301133	215.500000333	51.8011323333	786.0	355.0	12.6666666667	
100	302.599029	246.500001333	56.0990273333	801.0	308.0	9.33333333333	
101	275.874516333	225.000000333	50.8745163333	747.0	297.0	18.3333333333	
102	297.456172667	243.999998	53.4561746667	786.0	298.0	13.3333333333	
103	288.602951667	237.499999667	51.102952	781.666666667	306.666666667	7.66666666667	
104	298.523208333	247.166666667	51.356542	794.666666667	300.333333333	12.3333333333	
105	296.062918333	242.499999667	53.562919	796.666666667	311.666666667	7.0	
106	305.105459	248.666667	56.438792	765.0	267.666666667	8.33333333333	
107	302.904065667	252.333335	50.5707303333	836.666666667	332.0	8.0	
108	312.120258	257.166666333	54.953592	834.0	319.666666667	5.33333333333	
109	306.126424667	249.499999	56.6264256667	818.333333333	319.333333333	10.0	
110	333.676336	279.833331667	53.8430043333	855.666666667	296.0	7.33333333333	
111	310.151955333	257.166667	52.985289	833.0	318.666666667	10.6666666667	
112	322.160504	265.666666333	56.493838	867.0	335.666666667	6.66666666667	
113	309.651275333	257.5	52.1512753333	817.0	302.0	9.66666666667	
114	318.344056667	264.499999333	53.8440573333	829.666666667	300.666666667	9.0	
115	326.040466333	269.166666667	56.8738	876.666666667	338.333333333	6.33333333333	
116	339.662410333	283.166665	56.4957453333	855.666666667	289.333333333	11.0	
117	325.322106667	270.666666333	54.6554406667	885.666666667	344.333333333	9.66666666667	
118	325.357977667	272.666666667	52.691311	851.666666667	306.333333333	7.66666666667	
119	332.840269333	280.833334333	52.0069353333	869.0	307.333333333	7.33333333333	
120	333.306335667	277.000002333	56.3063336667	865.666666667	311.666666667	5.66666666667	
121	322.851768333	267.166666	55.685103	866.333333333	332.0	7.0	
122	325.624013333	271.666669	53.9573443333	885.0	341.666666667	6.33333333333	
123	328.278969	274.833333333	53.4456356667	843.333333333	293.666666667	6.0	
124	324.882519667	276.166666333	48.7158533333	853.666666667	301.333333333	7.0	
125	324.081855333	270.500002333	53.581853	888.333333333	347.333333333	8.33333333333	
126	338.243292333	282.166668	56.0766246667	853.666666667	289.333333333	10.6666666667	
127	340.573962667	288.666667	51.9072953333	891.0	313.666666667	7.33333333333	
128	332.483079333	278.333334	54.149746	841.666666667	285.0	6.33333333333	
129	334.825680333	280.666664333	54.159016	883.333333333	322.0	6.0	
130	354.220511333	302.833334667	51.3871766667	924.666666667	319.0	6.66666666667	
131	332.428718	277.999999333	54.4287186667	873.666666667	317.666666667	8.0	
132	358.319879333	300.333335333	57.986544	890.0	289.333333333	8.66666666667	
133	342.068385333	286.833332667	55.2350526667	883.666666667	310.0	7.66666666667	
134	354.319559	300.999998	53.319561	915.0	313.0	7.0	
135	373.037550333	314.666665333	58.370885	925.666666667	296.333333333	5.33333333333	
136	364.665436333	307.666669	56.998767	850.0	234.666666667	9.66666666667	
137	359.287757	301.666669	57.6210876667	863.0	259.666666667	7.33333333333	
138	360.621046667	303.5	57.1210466667	875.333333333	268.333333333	7.33333333333	
139	354.887108333	300.166668	54.72044	872.666666667	272.333333333	6.33333333333	
140	349.065534	291.166665	57.898869	834.666666667	252.333333333	8.66666666667	
141	358.763642	301.500001333	57.2636403333	877.0	274.0	7.66666666667	
142	358.718205	301.666667667	57.0515376667	845.0	241.666666667	10.0	
143	358.507358	302.166666333	56.3406916667	876.666666667	272.333333333	12.3333333333	
144	356.894823667	300.333332333	56.561491	860.0	259.333333333	10.3333333333	
145	356.238289	296.666668333	59.5716206667	864.333333333	271.0	5.66666666667	
146	343.611865333	290.166667	53.4451983333	858.666666667	278.333333333	8.0	
147	351.278678	294.666667	56.612011	847.333333333	258.0	6.0	
148	346.869404667	292.333334	54.536071	832.0	247.333333333	11.3333333333	
149	358.238075	303.166663667	55.0714113333	864.333333333	258.0	5.33333333333	
150	370.595726667	309.999998333	60.595728	870.666666667	250.666666667	8.66666666667	
151	358.888306	299.166668667	59.7216373333	858.666666667	260.333333333	8.66666666667	
152	348.275827667	293.833335667	54.4424916667	865.0	277.333333333	9.33333333333	
153	353.617525	297.666668333	55.950857	844.666666667	249.333333333	10.0	
154	362.918671333	305.833334333	57.085337	896.0	284.333333333	7.0	
155	362.615991	302.000000667	60.61599	826.666666667	222.666666667	9.66666666667	
156	369.219210333	307.833335333	61.3858753333	846.333333333	230.666666667	10.3333333333	
157	360.007040333	302.166665667	57.840375	863.666666667	259.333333333	9.66666666667	
158	363.289051667	306.5	56.7890513333	879.0	266.0	8.33333333333	
159	367.555442667	312.166666667	55.388776	870.0	245.666666667	10.3333333333	
160	367.939809	311.833334	56.106475	861.0	237.333333333	8.0	
161	359.100386333	300.333331	58.7670553333	865.0	264.333333333	7.66666666667	
162	367.613894333	310.0	57.6138943333	879.666666667	259.666666667	8.66666666667	
163	351.675540667	296.333335	55.3422056667	840.333333333	247.666666667	8.66666666667	
164	356.68989	300.833334333	55.856556	880.333333333	278.666666667	8.66666666667	
165	364.289100667	307.000001	57.2890993333	854.333333333	240.333333333	11.3333333333	
166	357.012778	298.833335667	58.179442	839.333333333	241.666666667	9.0	
167	354.707711667	296.333334	58.3743776667	810.0	217.333333333	7.33333333333	
168	347.933761667	287.666667333	60.2670946667	789.666666667	214.333333333	7.66666666667	
169	342.280914333	281.666666	60.6142483333	770.0	206.666666667	3.66666666667	
170	341.861429667	282.666667333	59.194762	763.666666667	198.333333333	7.66666666667	
171	351.794681	292.333331667	59.4613493333	773.333333333	188.666666667	10.3333333333	
172	346.073604	287.999999667	58.0736043333	772.666666667	196.666666667	6.33333333333	
173	345.031853667	285.499999	59.531855	779.0	208.0	7.0	
174	351.909229333	293.000001	58.9092283333	809.0	223.0	7.0	
175	349.953457667	290.833332333	59.1201253333	767.666666667	186.0	7.33333333333	
176	350.693198	289.166665667	61.5265326667	768.333333333	190.0	4.33333333333	
177	347.143292667	288.166666667	58.976626	778.333333333	202.0	6.66666666667	
178	356.333552333	299.000001333	57.3335506667	774.333333333	176.333333333	8.33333333333	
179	344.127992667	284.999999	59.127994	756.666666667	186.666666667	9.66666666667	
180	345.642355333	285.333333	60.3090223333	755.333333333	184.666666667	7.33333333333	
181	346.711349	287.499999333	59.2113496667	770.333333333	195.333333333	6.33333333333	
182	346.941544667	286.166667	60.7748776667	772.0	199.666666667	6.66666666667	
183	356.551100333	294.999998667	61.5511023333	798.333333333	208.333333333	8.0	
184	357.131777333	295.333331333	61.798446	794.0	203.333333333	6.66666666667	
185	361.383076	298.666668333	62.7164076667	806.0	208.666666667	5.0	
186	350.190183667	286.666665667	63.5235183333	778.0	204.666666667	5.0	
187	356.454034	296.000000667	60.4540336667	783.666666667	191.666666667	7.66666666667	
188	355.824543	295.666669	60.1578736667	815.0	223.666666667	3.33333333333	
189	356.481893667	294.666666333	61.8152273333	798.333333333	209.0	5.0	
190	365.278974333	301.833334333	63.4456403333	821.0	217.333333333	5.66666666667	
191	364.858462667	302.833334667	62.025128	797.666666667	192.0	7.0	
192	370.430065	309.000000333	61.4300643333	858.666666667	240.666666667	4.0	
193	373.948161	317.166668667	56.7814926667	858.666666667	224.333333333	13.6666666667	
194	370.184294	314.499999667	55.6842943333	848.333333333	219.333333333	17.6666666667	
195	370.733487667	309.333330667	61.400157	867.333333333	248.666666667	5.66666666667	
196	364.633941667	306.333335	58.3006066667	844.333333333	231.666666667	13.6666666667	
197	368.191249333	308.999999667	59.1912496667	813.666666667	195.666666667	14.3333333333	
198	372.222684333	311.333335667	60.8893483333	865.666666667	243.0	6.66666666667	
199	383.928789	321.333336	62.595453	893.666666667	251.0	2.66666666667	
200	372.963303667	312.999999333	59.963304	835.0	209.0	11.0	
201	388.735729333	329.500000333	59.235729	920.666666667	261.666666667	6.0	
202	380.962651	319.666667667	61.2959836667	857.0	217.666666667	7.66666666667	
203	379.210851	319.666669333	59.544182	864.666666667	225.333333333	11.3333333333	
204	379.807928333	319.500001	60.3079273333	862.666666667	223.666666667	8.33333333333	
205	385.979857	325.999997667	59.9798593333	915.0	263.0	6.33333333333	
206	387.102486333	324.166669	62.9358173333	867.333333333	219.0	5.66666666667	
207	385.278205333	325.166667	60.111538	839.333333333	189.0	6.33333333333	
208	404.179917	343.666667	60.51325	906.333333333	219.0	8.33333333333	
209	389.902765667	329.833334	60.069432	903.666666667	244.0	6.0	
210	409.745735	349.500000333	60.2457343333	959.666666667	260.666666667	5.66666666667	
211	398.042578667	336.666666333	61.375912	910.666666667	237.333333333	4.33333333333	
212	396.960364667	335.5	61.4603643333	887.666666667	216.666666667	5.66666666667	
213	394.465998333	332.333336	62.1326623333	892.0	227.333333333	7.0	
214	383.400794	322.500002	60.9007926667	891.0	246.0	7.66666666667	
215	394.539965667	333.833334333	60.706631	910.0	242.333333333	6.0	
216	406.219871667	344.500001667	61.71987	961.666666667	272.666666667	2.33333333333	
217	401.285712	341.166666667	60.1190453333	849.666666667	167.333333333	14.3333333333	
218	395.368004667	334.833335333	60.5346693333	837.333333333	167.666666667	12.3333333333	
219	408.446169667	346.166666	62.2795036667	842.666666667	150.333333333	9.0	
220	406.017467333	344.166665333	61.8508016667	877.666666667	189.333333333	12.6666666667	
221	399.220172667	337.166665333	62.0535073333	874.666666667	200.333333333	9.66666666667	
222	395.624635333	333.499999333	62.124636	835.333333333	168.333333333	11.6666666667	
223	392.048097667	329.833332	62.2147653333	813.0	153.333333333	10.0	
224	395.186046333	334.666664667	60.519382	863.333333333	194.0	9.33333333333	
225	403.085160333	343.0	60.085161	853.0	167.0	10.6666666667	
226	398.347637667	338.333332667	60.0143053333	834.666666667	158.0	12.6666666667	
227	407.678468667	345.333332333	62.3451363333	860.666666667	170.0	8.33333333333	
228	404.686154333	341.0	63.6861543333	892.0	210.0	5.66666666667	
229	397.953634	337.833332667	60.120302	845.666666667	170.0	11.6666666667	
230	399.107497333	338.999997333	60.1075006667	845.0	167.0	11.6666666667	
231	398.447066333	336.166667	62.2803996667	839.0	166.666666667	11.3333333333	
232	416.330402667	351.333333333	64.9970696667	879.333333333	176.666666667	8.66666666667	
233	409.802594	348.500001	61.3025936667	893.666666667	196.666666667	12.0	
234	399.242295	339.000002	60.242293	864.666666667	186.666666667	7.66666666667	
235	429.625646333	367.666668333	61.9589773333	880.333333333	145.0	8.66666666667	
236	411.718225667	348.833332333	62.8848933333	907.666666667	210.0	8.0	
237	413.128472333	351.833331	61.2951413333	924.333333333	220.666666667	6.66666666667	
238	406.311029667	346.499999667	59.81103	928.333333333	235.333333333	7.0	
239	412.144035333	347.166665	64.9773703333	874.333333333	180.0	7.33333333333	
240	411.192762333	350.000001333	61.192761	860.333333333	160.333333333	11.0	
241	408.306867667	345.666665333	62.6402023333	890.666666667	199.333333333	10.6666666667	
242	403.596053667	344.333331	59.2627226667	874.333333333	185.666666667	11.3333333333	
243	402.202470667	338.499999333	63.702471	813.666666667	136.666666667	9.66666666667	
244	403.687899667	342.166667333	61.521233	869.333333333	185.0	7.33333333333	
245	399.396793333	340.666666333	58.730127	857.0	175.666666667	10.3333333333	
246	420.583910333	360.999999667	59.5839106667	901.666666667	179.666666667	9.33333333333	
247	412.8613	350.666666333	62.1946333333	922.666666667	221.333333333	3.66666666667	
248	407.328743	345.833332667	61.49541	862.0	170.333333333	9.66666666667	
249	398.121725	336.000001	62.121724	807.666666667	135.666666667	12.6666666667	
250	412.631957333	351.833331333	60.798626	887.333333333	183.666666667	10.0	
251	414.179956667	354.666668333	59.5132883333	881.666666667	172.333333333	9.66666666667	
252	410.254987667	349.166666	61.0883216667	900.0	201.666666667	9.0	
253	413.864279333	351.166663333	62.6976166667	890.333333333	188.0	3.0	
254	405.164359667	345.000001667	60.1643576667	838.666666667	148.666666667	13.3333333333	
255	413.828081667	351.000000667	62.828081	858.666666667	156.666666667	10.3333333333	
256	410.502689667	349.666666667	60.836023	880.0	180.666666667	8.0	
257	416.063356333	353.833332333	62.230024	857.0	149.333333333	10.3333333333	
258	421.892666	358.166667667	63.7259986667	885.333333333	169.0	10.3333333333	
259	407.477584	345.5	61.977584	828.666666667	137.666666667	10.6666666667	
260	425.796515333	364.333334667	61.4631806667	882.333333333	153.666666667	12.6666666667	
261	413.937683	354.500001333	59.4376813333	869.0	160.0	16.3333333333	
262	411.330906	347.333336333	63.9975696667	845.333333333	150.666666667	9.33333333333	
263	418.380560667	359.333332667	59.0472273333	881.0	162.333333333	14.0	
264	413.456553667	353.166666667	60.2898866667	860.0	153.666666667	7.66666666667	
265	407.781765667	348.000001333	59.781764	839.666666667	143.666666667	10.6666666667	
266	416.63865	354.833332667	61.805318	872.333333333	162.666666667	8.33333333333	
267	412.423193	352.166666333	60.2565266667	852.666666667	148.333333333	12.3333333333	
268	421.534860667	360.333336333	61.2015243333	865.333333333	144.666666667	8.66666666667	
269	419.490423333	359.666667	59.8237563333	880.0	160.666666667	9.33333333333	
270	405.587672333	344.666666333	60.9210063333	891.0	201.666666667	8.66666666667	
271	422.309382333	359.833332	62.4760503333	869.0	149.333333333	9.0	
272	413.420183333	351.999998	61.4201856667	849.0	145.0	9.0	
273	412.786838333	352.666667333	60.1201706667	856.333333333	151.0	13.0	
274	416.127629	355.833331333	60.294298	828.666666667	117.0	15.6666666667	
275	414.664469	352.833332667	61.831136	843.0	137.333333333	9.66666666667	
276	421.273575667	361.666668	59.606908	881.0	157.666666667	10.6666666667	
277	407.107466	346.166665667	60.9408	820.333333333	128.0	12.3333333333	
278	423.786802333	362.166665667	61.6201366667	911.666666667	187.333333333	9.33333333333	
279	424.688426333	361.999999667	62.6884266667	878.333333333	154.333333333	7.33333333333	
280	403.603445667	344.166667	59.4367786667	855.666666667	167.333333333	15.3333333333	
281	405.890544333	345.166664333	60.7238796667	865.0	174.666666667	6.33333333333	
282	420.869020667	358.833332667	62.0356883333	871.666666667	154.0	11.0	
283	418.648266	358.833332	59.814934	863.333333333	145.666666667	8.33333333333	
284	414.951395667	353.000001667	61.9513943333	857.0	151.0	8.66666666667	
285	403.590943	343.999998667	59.5909446667	864.666666667	176.666666667	13.6666666667	
286	423.616008667	360.166665333	63.449343	929.333333333	209.0	6.0	
287	429.760466667	365.333335667	64.4271316667	892.333333333	161.666666667	7.0	
