Generation	Fitness	ShootingFitness	AimingFitness	Shots	Misses	WrongReloads
237	84.426010	26.500001	57.926009	841	788	0
238	88.737642	34.999999	53.737642	944	874	1
239	105.839310	48.000000	57.839311	1,025	929	0
240	104.329010	47.000001	57.329009	990	896	1
241	91.201919	35.999999	55.201920	899	827	0
242	104.445366	47.499999	56.945367	966	871	0
243	111.903444	53.000000	58.903444	1,016	910	1
244	97.237022	38.000000	59.237022	814	738	0
245	103.513946	48.000000	55.513946	1,007	911	0
246	106.961700	48.000001	58.961699	934	838	0
247	103.640985	46.999999	56.640986	1,036	942	1
248	107.361919	51.000000	56.361919	972	870	1
249	106.124588	47.999999	58.124589	997	901	0
250	104.218006	49.500000	54.718005	1,039	940	2
251	99.749705	41.500000	58.249705	892	809	0
252	103.021040	47.000001	56.021039	966	872	0
253	105.726200	43.000000	62.726200	842	756	2
254	110.196937	52.999999	57.196938	983	877	0
255	108.121626	49.500000	58.621625	973	874	0
256	108.459924	52.500000	55.959924	951	846	0
257	116.763068	56.500001	60.263067	989	876	0
258	105.458133	46.000000	59.458133	919	827	0
259	103.139716	46.500000	56.639716	952	859	0
260	109.130104	48.500000	60.630104	955	858	1
261	104.108217	46.500001	57.608217	991	898	2
262	102.841017	46.000001	56.841016	1,043	951	0
263	107.996833	48.000001	59.996832	930	834	0
264	101.656617	47.000000	54.656617	953	859	4
265	116.203137	56.499998	59.703138	945	832	0
266	105.636707	48.500000	57.136707	952	855	0
267	118.723373	55.499999	63.223374	893	782	1
268	110.704327	52.000000	58.704327	1,042	938	1
269	107.509468	45.999999	61.509469	932	840	0
270	104.062641	45.000000	59.062641	950	860	0
271	114.897444	54.500001	60.397443	1,014	905	0
272	115.843008	58.000002	57.843006	1,036	920	1
273	118.379079	59.500001	58.879078	964	845	9
274	128.599865	70.500000	58.099866	1,142	1,001	5
275	113.919832	54.000001	59.919831	752	644	28
276	114.237339	56.999999	57.237340	927	813	20
277	120.954856	63.499999	57.454857	1,055	928	7
278	114.915764	57.500001	57.415763	1,082	967	7
279	115.890948	60.000001	55.890947	980	860	8
280	122.185837	62.000000	60.185837	1,005	881	8
281	106.116037	46.000000	60.116036	780	688	30
282	111.937984	52.500000	59.437984	968	863	10
283	115.783048	59.500001	56.283048	1,058	939	6
284	118.793885	63.000000	55.793885	1,059	933	10
285	124.506153	66.000001	58.506153	984	852	9
286	115.599399	60.499999	55.099400	1,056	935	9
287	112.119375	57.000001	55.119375	944	830	9
288	110.721706	53.500001	57.221705	1,036	929	5
289	117.234377	59.000000	58.234378	898	780	8
290	124.390459	64.500000	59.890459	950	821	16
291	123.782686	64.000001	59.782685	874	746	17
292	115.714837	57.000000	58.714837	898	784	13
293	120.124649	62.500001	57.624649	1,057	932	3
294	112.872837	56.500000	56.372837	939	826	10
295	120.131644	59.999999	60.131645	974	854	14
296	125.432241	66.000001	59.432240	1,039	907	9
297	118.221401	60.000001	58.221400	978	858	11
298	129.999823	71.500000	58.499823	1,110	967	5
299	122.794243	62.500001	60.294242	953	828	17
300	130.476543	72.500000	57.976543	1,058	913	10
301	126.203138	66.000000	60.203138	1,100	968	8
302	120.716056	60.000001	60.716055	912	792	22
303	113.870698	53.500000	60.370698	873	766	15
304	122.024323	63.000000	59.024323	902	776	15
305	122.460968	65.000000	57.460968	1,081	951	6
306	121.461512	62.500000	58.961512	1,064	939	4
307	126.801300	66.000002	60.801298	962	830	13
308	121.562881	61.500000	60.062881	982	859	12
309	134.211357	77.499999	56.711357	1,005	850	5
310	126.032924	68.500000	57.532924	1,045	908	14
311	142.578246	83.000001	59.578245	1,102	936	5
312	116.208242	61.499999	54.708243	1,048	925	6
313	120.825097	63.500001	57.325096	1,003	876	7
314	128.938661	73.499999	55.438662	1,150	1,003	2
315	118.565785	62.500000	56.065785	999	874	8
316	119.841164	64.500000	55.341163	1,048	919	7
317	134.034021	76.000001	58.034020	1,119	967	8
318	132.331389	73.999999	58.331389	1,062	914	7
319	131.581828	72.500002	59.081827	991	846	6
320	127.575159	68.999999	58.575159	1,029	891	3
321	139.435373	78.999999	60.435374	1,086	928	10
322	129.000881	71.999999	57.000882	1,049	905	4
323	132.399283	72.500001	59.899283	1,078	933	5
324	132.269000	74.499998	57.769002	1,066	917	8
325	135.736869	77.500000	58.236869	1,038	883	8
326	135.575100	76.500000	59.075100	1,072	919	7
327	168.759014	113.500001	55.259013	1,156	929	7
328	166.954599	116.500002	50.454597	1,142	909	22
329	177.098070	123.500001	53.598068	1,117	870	15
330	173.439407	123.999999	49.439408	1,217	969	6
331	210.615983	157.499999	53.115984	1,247	932	12
332	180.961960	131.500001	49.461959	1,169	906	6
333	181.006966	129.000000	52.006966	1,126	868	9
334	194.969896	143.500000	51.469896	1,184	897	13
335	186.794411	132.000000	54.794411	1,062	798	4
336	200.641140	147.000002	53.641138	1,248	954	4
337	187.095100	136.000000	51.095100	1,050	778	12
338	187.476145	136.000002	51.476143	1,098	826	9
339	198.488560	143.999998	54.488561	1,186	898	12
340	193.142615	137.499999	55.642616	1,147	872	5
341	201.392214	148.000001	53.392213	1,087	791	20
342	178.202009	125.999999	52.202010	1,127	875	14
343	198.605883	144.500000	54.105884	1,130	841	8
344	194.862208	142.499999	52.362209	1,287	1,002	8
