Generation	Fitness	ShootingFitness	AimingFitness	Shots	Misses	WrongReloads
443	481.389293	421.500002	59.889291	978	135	0
444	484.271844	427.500000	56.771844	1,128	273	0
445	477.717284	418.500006	59.217278	1,116	279	0
446	477.012885	412.999996	64.012889	939	113	1
447	505.074594	442.499995	62.574599	1,015	130	1
448	482.725763	419.500000	63.225763	968	129	0
449	486.227547	425.499997	60.727550	979	128	14
450	488.823688	427.500001	61.323687	999	144	7
451	482.168332	418.999998	63.168334	971	133	7
452	492.600761	430.999996	61.600765	1,030	168	8
453	471.134634	412.500003	58.634632	964	139	0
454	482.701327	421.499999	61.201328	974	131	8
455	477.628818	418.499998	59.128820	1,009	172	0
456	476.054199	413.500004	62.554195	954	127	10
457	496.378053	436.000003	60.378050	979	107	1
458	478.462138	417.499993	60.962146	1,137	302	0
459	487.380168	422.000002	65.380166	901	57	6
460	491.074538	434.500003	56.574534	1,046	177	0
461	482.036740	424.500000	57.536740	988	139	9
462	505.786887	441.499998	64.286889	1,002	119	11
463	494.162573	436.499995	57.662578	1,218	345	0
464	502.182539	439.500000	62.682539	1,019	140	7
465	503.090610	443.499997	59.590613	1,169	282	0
466	482.254193	425.000000	57.254193	986	136	0
467	486.516304	431.500001	55.016303	1,001	138	0
468	491.660991	435.999999	55.660992	1,026	154	0
469	492.777237	434.500002	58.277234	1,004	135	0
470	493.896845	432.500001	61.396844	1,002	137	0
471	479.771291	422.000007	57.771284	1,114	270	0
472	490.678642	432.499998	58.178644	1,027	162	0
473	480.221899	420.499997	59.721902	947	106	2
474	497.342393	436.499995	60.842398	1,028	155	0
475	492.468531	432.000002	60.468529	1,021	157	6
476	498.427853	439.499998	58.927855	1,117	238	0
477	483.783784	423.499994	60.283790	971	124	0
478	491.514355	431.500002	60.014353	1,130	267	1
479	508.765103	450.500001	58.265102	1,044	143	1
480	490.721034	427.000005	63.721030	974	120	5
481	527.301285	462.500000	64.801285	1,043	118	0
482	529.644035	469.500004	60.144031	1,058	119	0
483	490.695546	426.999996	63.695550	937	83	6
484	545.738431	487.500005	58.238426	1,150	175	0
485	499.061819	439.000001	60.061818	1,023	145	0
486	480.752873	417.499998	63.252876	963	128	7
487	502.210477	438.500003	63.710474	993	116	1
488	504.830627	445.500003	59.330624	1,054	163	0
489	497.498242	434.999998	62.498244	1,101	231	3
490	491.263440	428.999995	62.263445	1,067	209	0
491	485.477647	424.999998	60.477649	956	106	6
492	489.354578	428.000001	61.354577	941	85	8
493	477.893452	416.999996	60.893457	936	102	9
494	520.603911	455.499996	65.103915	1,065	154	8
